種類,公司類型,招聘職位,薪金,公司名稱,學歷,經驗/技能,職責
房務員,酒店,房務員,"$9,190-$11,000/按月","SH – Sociedade de Hotelaria, Limitada","小學教育,廣東話良好;普通話一般;略懂英語",,檢查、清潔整理客房，提供殷勤的服務，為賓客運送所需的客房用品。
房務員,酒店,客房服務員,"$9,000-$10,000/按月",新濠天地渡假村有限公司,"小學教育,廣東話一般;普通話一般;英語一般",1年相關工作經驗,接受上級委派之工作，房間的清理打掃，更換床單，清潔浴室，補充衛浴用品 房間的消毒，協助其他區域的清潔
房務員,酒店,房務員,"$9,000/按月",利澳酒店有限公司,"初中教育,廣東話良好;普通話一般;英語一般",1年相關工作經驗,1. 負責酒店客房的衛生清潔、更換及送洗床上用品、清潔浴室、補充房間內消耗性用品； 2. 協助其他區域的清潔作業等； 3. 配合部門主管交辦之工作事項及工作輪調。
接待員,酒店,前堂主管,"$26,500-$27,500/按月",新濠天地渡假村有限公司,"高等教育,廣東話良好;普通話良好;英語良好",6年相關工作經驗,負責前台的日常營運工作，協助房務總監對酒店前台整體運作，營造良好工作氛圍 達成酒店前台各項數據指標及規劃 妥善處理客訴，兼顧酒店及顧客的利益，及時準確解決突發事件 管理團隊預訂，關注分析短期及遠期房態
接待員,酒店,Supervisor - Front Desk 主任 - 前臺,"$20,500/按月",New Galaxy Entertainment 2006 Company Limited 新銀河娛樂2006有限公司,"不論學歷,廣東話良好;普通話良好;英語良好",2年相關工作經驗,•負責前臺的運作效率，並為相關區域提供服務 •管理、監督團隊成員的工作 •負責辦理入住、退房和換房手續，確保將所有資料都完整地輸入酒店電腦系統 •處理客人的投訴、查詢、要求 •管理現金和處理銀行業務程序
接待員,酒店,Supervisor - Butler 主任 - 貴賓司膳,"$20,500/按月",New Galaxy Entertainment 2006 Company Limited 新銀河娛樂2006有限公司,"高等教育,廣東話良好;普通話良好;英語良好",2年相關工作經驗,•負責為客人提供優質的個性化服務，及時有效地處理客人的各種要求 • 確保貴賓司膳部負責的所有樓層套房狀況良好，各種設備齊全，並符合公司標準 • 滿足貴賓司膳部負責樓層貴賓的所有需要 • 24小時全天候提供符合五星級標準的最高水平個性化服務 • 熟知每天酒店的入住和退房情況，尤其應關注貴賓和團體的入住、退房情況 • 協調、監督和培訓貴賓司膳團隊，提供專業、周到、高效的服務
接待員,酒店,前台主任,"$18,000-$19,000/按月",新濠天地渡假村有限公司,"高等教育,酒店管理,廣東話良好;普通話良好;英語良好",3年相關工作經驗,"負責指導接待員接待客人, 辦理客人入住及退房手續, 協助處理客人投訴 接待賓客、及時處理客人在酒店內遇到的困難和要求 做好關於客人資料之收集和存檔工作，並對有關資料進行核查 接受上級委派之工作"
接待員,博彩業,專員 - 銀娛優越會 (Representative - GPC),"$17,000-$19,000/按月",StarWorld Hotel Company Limited 星際酒店有限公司,"不論學歷,廣東話良好;普通話良好;英語一般",2年相關工作經驗,•在博彩樓層和非博彩樓層的優越會櫃檯提供會籍服務，協助客人註冊成為銀河優越會會員 •須詳細了解銀河優越會的各類促銷活動，兌換計劃，渡假村提供的一切產品和服務 •協助推廣會員活動及進行促銷，識別出潛在的高端客戶並將其轉介到娛樂場禮遇服務部 •以專業的方式處理客人的投訴，並每天收集客人的反饋意見 •如遇特殊投訴和異常案件，須及時並準確地向值班的上級報告 •與客人交流時，確保所有客人都享受到高標準的亞洲心服務 •以可審計和及時的方式完成所需的數據輸入 •協助庫存轉移並重新填充所有櫃檯的文具 •保證所有必要的政策和客戶信息的機密性 •與團隊成員一起實行團隊合作 •有效執行上級委派的所有工作
接待員,酒店,接待主任,"$16,500-$22,000/按月",澳門喜來登大酒店,"高中教育,廣東話良好;普通話一般;英語良好",2年相關工作經驗;專業資格:5 星級酒店相關工作經驗；良好的組織以及解決問題的能力；良好的心理承受能力，在工作中始終保持積極,• 透過親身、電話或電子媒介等方式向賓客(包括但不限於企業伙伴、客戶、貴賓及名人)提供諮詢、預訂、票務、款接、侍候、導覽、陪伴及個人專屬服務，例如各類餐飲體驗、休閒娛樂活動、跟進客房佈置及清潔服務等，並於需要時處理結帳； • 確保根據標準與程序向賓客解釋及推銷服務、設施和產品； • 有時需外勤或陪同客戶外出，例如被指派到碼頭、機場或指定地點進行接送及協助客戶處理行李； • 必須與賓客建立良好的關係及保持與賓客的聯繫，以妥善迅速地處理他們的各種需求；通過互動提升賓客體驗，為賓客準備一些有趣小驚喜或小玩意，製造難忘/驚喜/浪漫時刻； • 需使用電子設備及系統處理及記錄工作相關事宜，包括發放通知及分派指示予有關單位，並處理有關單位之回饋； • 需記錄、點算及分發日常工作之相關用品，並進行匯報、補充及整理庫存等同類型工作； • 需被分派至不同的部門與區域以更有效地接待賓客，當中包括但不限於：酒店營運、市場推廣、娛樂統籌、廣告、電子商務及會議展覽等； • 需執行其他同類職務，且職責包含但不限於上級委派之工作； • 需協調其他工作人員； • 需編製更表； • 需負責組織及督導同類工作人員
接待員,酒店,賓客服務員,"$15,240-$18,900/按月",永利渡假村(澳門)股份有限公司,"高等教育,廣東話良好;普通話良好;英語良好",職業技能:熟悉運用Office 及其他辦公室軟件,為賓客提供誠懇和優質的客戶接待服務，酒店的最新資訊，誠懇的態度，優質的客戶服務。
接待員,酒店,客戶服務員,"$15,000/按月",永利渡假村(澳門)股份有限公司,"高中教育,廣東話良好;普通話一般;英語一般",,為賓客提供誠懇和優質的客戶接待服務，酒店的最新資訊，誠懇的態度，優質的客戶服務。
接待員,酒店,Front Desk Agent 接待員 - 前臺,"$15,000/按月",New Galaxy Entertainment 2006 Company Limited 新銀河娛樂2006有限公司,"高等教育,廣東話良好;普通話良好;英語良好",,•負責前臺區域的運作效率，並為相關區域提供服務 •負責辦理入住、退房和換房手續，確保將所有資料完整地輸入酒店電腦系統 •處理客人的投訴、查詢、要求
接待員,酒店,Agent - Concierge 服務員 - 禮賓,"$15,000/按月",New Galaxy Entertainment 2006 Company Limited 新銀河娛樂2006有限公司,"高等教育,廣東話良好;普通話良好;英語良好",,•負責值班期間禮賓櫃檯的運作效率，並為相關區域提供服務 •全面了解銀河酒店的各種標準 •為客人提供有關酒店服務、當地的風景名勝、酒店、醫療、觀光路線的資訊以及其他客人可能感興趣的類似資訊 •確保禮賓部的所有設備均保持良好狀況
接待員,酒店,Spa Receptionist 水療接待員,"$12,000/按月",New Galaxy Entertainment 2006 Company Limited 新銀河娛樂2006有限公司,"高中教育,廣東話良好;普通話良好;英語良好",,• 療程前提供護理諮詢，幫助客人選擇最適合的療程 • 為客人提供、更改或取消預定 • 按照客人要求提供預定確認信 • 與理療服務團隊協調房間的佈置和安排 • 辦理客人療程結束手續，包括更改帳單，並確保收銀手續按照酒店規定 • 主動向客人售賣商品及執行推銷策略以達到銷售預算
